activ_dense,activation,dropout_0,dropout_1,dropout_2,dropout_3,filters_0,filters_1,filters_2,filters_3,filters_4,filters_5,filters_6,global_pooling,k_0,k_1,k_2,k_3,k_4,k_5,k_6,l2,lr,s_0,s_1,s_2,stack_0,stack_1,stack_2,step,perf
softmax,sigmoid,0.6185573275997875,0.39177407760636834,0.3808773638926935,0.7882983754416265,361,10,96,485,183,331,113,True,2,3,3,5,5,5,3,0.0024759311785299168,0.9434090213198282,4,2,4,3,1,2,False,0.11349999956786633
softmax,sigmoid,0.6185573275997875,0.39177407760636834,0.3808773638926935,0.7882983754416265,361,10,96,485,183,331,113,True,2,3,3,5,5,5,3,0.0024759311785299168,0.9434090213198282,4,2,4,3,1,2,False,0.11349999956786633
softmax,sigmoid,0.6185573275997875,0.39177407760636834,0.3808773638926935,0.7882983754416265,361,10,96,485,183,331,113,True,2,3,3,5,5,5,3,0.0024759311785299168,0.9434090213198282,4,2,4,3,1,2,False,0.11349999956786633
softmax,elu,0.8891186459222009,0.6081374933035928,0.016759794092909588,0.6323060778775597,556,154,142,348,317,121,251,True,3,3,4,2,5,4,1,0.007972771262372313,0.3198226658514822,4,2,4,4,3,2,False,0.9085000044107437
softmax,elu,0.8891186459222009,0.6081374933035928,0.016759794092909588,0.6323060778775597,556,154,142,348,317,121,251,True,3,3,4,2,5,4,1,0.007972771262372313,0.3198226658514822,4,2,4,4,3,2,False,0.9086000055074692
softmax,elu,0.8891186459222009,0.6081374933035928,0.016759794092909588,0.6323060778775597,556,154,142,348,317,121,251,True,3,3,4,2,5,4,1,0.007972771262372313,0.3198226658514822,4,2,4,4,3,2,False,0.9086000055074692
softmax,elu,0.45000500000000004,0.08221943658828736,0.01407234375,0.31641273437500006,305,97,50,441,362,329,343,True,4,5,3,5,5,3,5,0.0075415234375,0.7262236694335937,4,5,4,4,1,2,False,0.9632000023126602
softmax,elu,0.5247924738213315,0.5100085727242865,0.013272067124590396,0.7066454149092735,112,434,49,504,524,148,370,False,1,5,3,6,4,1,1,0.0030860576874110848,0.6431221247673035,2,3,3,5,2,4,False,0.08920000007376075
softmax,elu,0.8155375902754559,0.46739124602132537,0.8508313757004728,0.45961035966367203,569,90,475,455,224,397,555,True,1,5,5,4,5,2,1,0.0030354577003355375,0.8698152730954811,1,3,5,3,4,5,False,0.10320000007748603
softmax,elu,0.003710514705775103,0.2896797937369506,0.011244794611512895,0.42864416215345785,24,220,162,113,554,593,245,False,4,5,1,5,1,6,5,0.0013726216981562154,0.18664194837487869,3,3,3,2,4,1,False,0.9798000055551529
softmax,elu,0.2589839410019998,0.19382695459407756,0.03693897124427324,0.12174981133223697,398,268,35,143,295,189,53,True,4,3,2,3,5,4,4,0.005848814152299892,0.1528690177072014,4,4,5,4,3,1,True,0.09580000022426248
softmax,elu,0.01595674328034911,0.28334055603356206,0.026357875924006503,0.6072817687630567,24,220,162,112,554,593,245,False,4,5,1,5,1,6,5,0.0017909603827498271,0.2240071394227828,3,3,3,2,4,2,False,0.9785000044107437
